Date,Open,High,Low,Close,Volume,Adj Close
2009-11-02,1.46,1.79,1.45,1.62,375100,1.62
2009-10-01,1.35,1.64,1.22,1.45,668400,1.45
2009-09-01,1.29,1.65,1.14,1.37,1568800,1.37
2009-08-03,1.42,1.60,1.07,1.31,1082200,1.31
2009-07-01,1.22,1.75,0.92,1.35,1248500,1.35
2009-06-01,1.12,1.25,0.84,1.21,995600,1.21
2009-05-01,0.84,1.26,0.79,1.08,1593200,1.08
2009-04-01,1.00,1.29,0.73,0.84,496200,0.84
2009-03-02,1.35,1.73,0.86,0.86,288000,0.86
2009-02-02,2.20,2.49,1.15,1.40,433400,1.40
2009-01-02,2.38,2.69,2.01,2.23,485500,2.23
2008-12-01,1.58,2.99,1.12,2.30,927400,2.30
2008-11-03,3.23,3.64,1.11,1.64,378900,1.64
2008-10-01,5.10,5.22,2.34,3.11,341800,3.11
2008-09-02,4.96,5.63,4.58,5.13,358000,5.13
2008-08-01,5.20,5.57,4.47,4.85,258500,4.85
2008-07-01,3.29,5.30,3.14,5.12,377000,5.12
2008-06-02,4.73,4.94,3.26,3.31,448300,3.31
2008-05-01,4.52,5.01,3.95,4.75,285500,4.75
2008-04-01,4.64,5.24,4.25,4.50,293600,4.50
2008-03-03,6.35,6.36,4.37,4.73,496800,4.73
2008-02-01,7.55,7.60,6.30,6.36,341600,6.36
2008-01-02,7.23,8.19,7.06,7.50,546800,7.50
2007-12-03,7.64,7.71,5.82,7.34,317700,7.34
2007-11-01,7.38,7.80,6.33,7.64,377600,7.64
2007-10-01,7.50,7.95,6.80,7.39,240900,7.39
2007-09-04,7.55,7.80,7.12,7.49,228600,7.49
2007-08-01,6.75,8.00,6.51,7.60,441900,7.60
2007-07-02,6.91,7.40,6.42,6.78,360000,6.78
2007-06-01,7.09,7.25,6.10,6.99,491500,6.99
2007-05-01,7.22,7.71,6.16,7.00,502400,7.00
2007-04-02,6.66,7.73,6.27,7.24,355300,7.24
2007-03-01,5.95,7.00,5.25,6.75,346700,6.75
2007-02-01,6.14,6.20,5.50,5.91,160000,5.91
2007-01-03,6.45,6.48,5.00,6.13,267600,6.13
2006-12-01,5.30,6.61,5.15,6.25,251200,6.25
2006-11-01,4.39,5.30,3.98,5.26,248700,5.26
2006-10-02,3.60,4.75,3.40,4.38,95400,4.38
2006-09-01,3.94,3.96,3.41,3.61,136300,3.61
2006-08-01,4.00,4.18,3.56,3.90,74600,3.90
2006-07-03,4.03,4.25,3.01,4.01,125700,4.01
2006-06-01,4.10,4.48,3.98,3.98,321300,3.98
2006-05-01,5.20,5.35,3.61,4.01,131100,4.01
2006-04-03,4.80,5.37,4.75,5.25,102900,5.25
2006-03-01,4.55,5.55,4.36,4.86,160600,4.86
2006-02-01,4.15,4.65,3.90,4.65,81500,4.65
2006-01-03,4.56,4.60,3.93,4.20,106900,4.20
2005-12-01,4.10,4.91,3.40,4.56,155900,4.56
2005-11-01,4.00,4.50,3.75,4.10,78600,4.10
2005-10-03,3.40,4.33,3.12,4.10,93400,4.10
2005-09-01,2.70,3.80,2.60,3.40,95200,3.40
2005-08-01,2.86,2.98,2.51,2.76,16900,2.76
2005-07-01,2.59,3.25,2.17,2.86,29900,2.86
2005-06-01,2.95,2.95,2.32,2.54,21000,2.54
2005-05-02,2.65,3.09,2.34,2.94,15700,2.94
2005-04-01,2.77,3.18,2.20,2.66,16000,2.66
2005-03-01,3.51,3.75,2.65,2.77,20300,2.77
2005-02-01,3.65,3.75,3.30,3.51,14200,3.51
2005-01-03,3.83,3.95,3.45,3.70,26300,3.70
2004-12-01,4.00,4.05,3.52,3.83,22800,3.83
2004-11-01,4.08,4.30,3.60,4.16,50300,4.16
2004-10-01,3.00,4.15,3.00,4.10,82500,4.10
2004-09-01,3.00,3.16,2.80,3.00,12000,3.00
2004-08-02,3.00,3.10,2.30,3.00,60100,3.00
2004-07-01,3.51,3.76,2.95,3.05,36500,3.05
2004-06-01,3.30,3.78,3.05,3.50,54900,3.50
2004-05-03,3.20,3.55,2.90,3.30,19100,3.30
2004-04-01,3.49,3.60,2.00,3.45,51900,3.45
2004-03-01,3.25,3.65,3.00,3.47,53100,3.47
2004-02-02,3.30,3.65,3.00,3.45,40800,3.45
2004-01-02,2.00,3.75,2.00,3.41,110600,3.41
2003-12-01,1.70,2.35,1.70,2.10,28700,2.10
2003-11-03,1.98,2.05,1.50,1.65,33800,1.65
2003-10-01,1.26,2.00,1.26,1.90,15900,1.90
2003-09-02,0.45,1.50,0.30,1.22,26000,1.22
2003-08-01,0.65,1.00,0.25,0.50,4100,0.50
2003-07-01,0.65,1.10,0.55,0.65,5900,0.65
2003-06-02,0.95,1.25,0.65,0.95,4800,0.95
2003-05-01,0.80,1.40,0.40,1.00,6700,1.00
2003-04-01,1.00,1.30,0.50,0.70,5400,0.70
2003-03-03,0.60,1.00,0.50,0.75,3100,0.75
2003-02-03,1.50,1.50,0.60,0.60,3500,0.60
2003-01-02,0.75,1.55,0.60,0.65,2100,0.65
2002-12-02,0.90,2.50,0.50,1.25,16600,1.25
2002-11-01,1.25,1.50,0.60,0.95,11200,0.95
2002-10-01,1.25,1.25,0.25,1.25,3400,1.25
2002-09-03,1.00,1.60,0.60,1.25,4900,1.25
2002-08-02,0.70,1.60,0.60,1.00,4300,1.00
